"Dev_MaxLS";"CWM_MaxLS";"Aridity";"Woody";"Grazing";"Lattitude";"Long_cos";"Long_sin";"Elevation";"MAT";"Site_ID"
"\"165\"";0.092749774729411;8.66588739512448;0.8802;0.9688;1;47.6537;0.25310454359322;-0.967438933479766;359;5.5;"\"51\""
"\"166\"";0.118300844528256;11.2344222009421;0.7779;0.9352;3;0.68808;0.997426940704264;-0.0716902919322667;895;23.8;"\"52\""
"\"167\"";0.102460379462443;10.4288975654664;0.7761;0.8376;2;0.68808;0.996093335158356;-0.0883066682255795;896;23.6;"\"52\""
"\"168\"";0.181664295859297;11.6922867683036;0.7704;0.7994;1;0.68861;0.995714587556822;-0.0924795119285759;899;23.5;"\"52\""
"\"169\"";0.0450071535292901;6.69095148642914;0.5573;0.0757;3;0.24289;0.407773677938952;-0.913083034329376;1866;17.1;"\"53\""
"\"170\"";0.0477974185459811;7.52400121280731;0.5391;0.1172;2;0.21658;0.438783537613978;-0.898592792714788;1855;17.2;"\"53\""
"\"171\"";0.07356443687449;9.46328079207073;0.5503;0.2754;1;0.21792;0.443387524722863;-0.896330018977459;1853;17.2;"\"53\""
"\"172\"";0.243186205371112;12.3191997435798;0.8875;0.8341;3;26.59771;-0.981467283144706;0.191629778783334;1129;20.2;"\"54\""
"\"173\"";0.161197723421999;11.3815368671306;0.8881;0.2951;2;26.59797;-0.98379667590376;0.179287758870236;1127;20.2;"\"54\""
"\"174\"";0.178870212552341;10.3824838478089;0.889;0.1653;1;26.59927;-0.986050880027735;0.166444170809702;1124;20.2;"\"54\""
"\"175\"";0.174794812116774;9.68215319463391;0.9143;5e-04;3;44.81247;-0.998188098517343;-0.0601707568369544;950;3.8;"\"55\""
"\"176\"";0.186630289144602;9.04723695691204;0.9144;0.4216;2;44.81197;-0.998075694654898;-0.06200732004483;953;3.8;"\"55\""
"\"177\"";0.0797623784166194;7.53276721266782;0.9144;0.5465;1;44.81171;-0.997902695604585;-0.0647318322396605;948;3.8;"\"55\""
"\"178\"";0.0147607910666102;6.86455683421567;0.9142;0.2228;0;44.81085;-0.99754420239418;-0.0700397335072028;955;3.8;"\"55\""
"\"179\"";0.0864430616901905;8.67682415182979;0.918;0.9734;3;44.87133;-0.974472468958199;-0.224507031610396;896;3.9;"\"56\""
"\"180\"";0.129084737277614;9.23579470705755;0.918;0.9647;2;44.86871;-0.975637696041817;-0.219387980669442;894;3.9;"\"56\""
"\"181\"";0.0968582869531635;10.0670830661502;0.918;0.9997;1;44.86707;-0.975954782863369;-0.217973075874327;893;3.9;"\"56\""
"\"182\"";0.11086165640334;9.35751280478051;0.9196;0.673;0;44.86254;-0.977412311003934;-0.21134136911156;892;3.9;"\"56\""
"\"183\"";0.159600260616772;9.28829831474259;0.9182;0.9295;3;44.85478;-0.958121650947348;-0.286361488307924;903;3.7;"\"57\""
"\"184\"";0.217282360869587;8.92255356659196;0.9182;0.6742;2;44.85377;-0.959248127046827;-0.282565091186356;901;3.7;"\"57\""
"\"185\"";0.0670048333243078;9.00020062254564;0.9183;0.9994;1;44.85123;-0.96054889826964;-0.278111154096667;901;3.7;"\"57\""
"\"186\"";0.136254132686585;10.0582488047371;0.9183;0.9418;0;44.85214;-0.961560349263876;-0.274593690247124;900;3.7;"\"57\""
"\"187\"";0.043495198809125;11.2773344967158;0.8974;0.316;3;-23.25335;0.928610500403976;-0.371055977636094;1334;19.8;"\"58\""
"\"188\"";0.135186202622625;11.5562524831939;0.8975;0.1248;2;-23.2529;0.927560431595286;-0.373673180384633;1335;19.9;"\"58\""
"\"189\"";0.0244685592102007;9.09806136047283;0.8975;0.0565;1;-23.25237;0.926408885654785;-0.376519025521764;1335;19.9;"\"58\""
"\"190\"";0.116289245452478;11.9296680782497;0.8454;0.6237;3;-21.9806;0.958468315561818;0.285199032368783;1523;19.2;"\"59\""
"\"191\"";0.119219740520502;12.0999615956142;0.8459;0.5895;2;-21.98445;0.957458479144224;0.288571067009203;1523;19.2;"\"59\""
"\"192\"";0.105993591219484;11.3198760254137;0.8459;0.2448;1;-21.9896;0.957111504576899;0.289719809137286;1524;19.2;"\"59\""
"\"193\"";0.0752816531510207;11.9577954261574;0.8049;0.9549;3;-19.06835;0.997910006896258;0.0646190230219386;1206;22.3;"\"60\""
